name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed
Skiploom,grass,flying,2,55,45,50,45,65,80
Jumpluff,grass,flying,2,75,55,70,55,95,110
Aipom,normal,,2,55,70,55,40,55,85
Sunkern,grass,,2,30,30,30,30,30,30
Sunflora,grass,,2,75,75,55,105,85,30
Yanma,bug,flying,2,65,65,45,75,45,95
Wooper,water,ground,2,55,45,45,25,25,15
Quagsire,water,ground,2,95,85,85,65,65,35
Espeon,psychic,,2,65,65,60,130,95,110
Umbreon,dark,,2,95,65,110,60,130,65
Murkrow,dark,flying,2,60,85,42,85,42,91
Slowking,water,psychic,2,95,75,80,100,110,30
Misdreavus,ghost,,2,60,60,60,85,85,85
Unown,psychic,,2,48,72,48,72,48,48
Wobbuffet,psychic,,2,190,33,58,33,58,33
Girafarig,normal,psychic,2,70,80,65,90,65,85
Pineco,bug,,2,50,65,90,35,35,15
Forretress,bug,steel,2,75,90,140,60,60,40
Dunsparce,normal,,2,100,70,70,65,65,45
Gligar,ground,flying,2,65,75,105,35,65,85
Steelix,steel,ground,2,75,125,230,55,95,30
Snubbull,fairy,,2,60,80,50,40,40,30
Granbull,fairy,,2,90,120,75,60,60,45
Qwilfish,water,poison,2,65,95,85,55,55,85
Scizor,bug,steel,2,70,150,140,65,100,75
Shuckle,bug,rock,2,20,10,230,10,230,5
Heracross,bug,fighting,2,80,185,115,40,105,75
Sneasel,dark,ice,2,55,95,55,35,75,115
Teddiursa,normal,,2,60,80,50,50,50,40
Ursaring,normal,,2,90,130,75,75,75,55
Slugma,fire,,2,40,40,40,70,40,20
Magcargo,fire,rock,2,60,50,120,90,80,30
Swinub,ice,ground,2,50,50,40,30,30,50
Piloswine,ice,ground,2,100,100,80,60,60,50
Corsola,water,rock,2,65,55,95,65,95,35
Remoraid,water,,2,35,65,35,65,35,65
Octillery,water,,2,75,105,75,105,75,45
Delibird,ice,flying,2,45,55,45,65,45,75
Mantine,water,flying,2,85,40,70,80,140,70
Skarmory,steel,flying,2,65,80,140,40,70,70
Houndour,dark,fire,2,45,60,30,80,50,65
Houndoom,dark,fire,2,75,90,90,140,90,115
Kingdra,water,dragon,2,75,95,95,95,95,85
Phanpy,ground,,2,90,60,60,40,40,40
Donphan,ground,,2,90,120,120,60,60,50
Porygon2,normal,,2,85,80,90,105,95,60
Stantler,normal,,2,73,95,62,85,65,85
Smeargle,normal,,2,55,20,35,20,45,75
Tyrogue,fighting,,2,35,35,35,35,35,35
Hitmontop,fighting,,2,50,95,95,35,110,70
Smoochum,ice,psychic,2,45,30,15,85,65,65
Elekid,electric,,2,45,63,37,65,55,95
Magby,fire,,2,45,75,37,70,55,83
Miltank,normal,,2,95,80,105,40,70,100
Blissey,normal,,2,255,10,10,75,135,55
Raikou,electric,,2,90,85,75,115,100,115
Entei,fire,,2,115,115,85,90,75,100
Suicune,water,,2,100,75,115,90,115,85
Larvitar,rock,ground,2,50,64,50,45,50,41
Pupitar,rock,ground,2,70,84,70,65,70,51
Tyranitar,rock,dark,2,100,164,150,95,120,71
Lugia,psychic,flying,2,106,90,130,90,154,110
Ho-Oh,fire,flying,2,106,130,90,110,154,90
Celebi,psychic,grass,2,100,100,100,100,100,100
Treecko,grass,,3,40,45,35,65,55,70
Grovyle,grass,,3,50,65,45,85,65,95
Sceptile,grass,,3,70,110,75,145,85,145
Torchic,fire,,3,45,60,40,70,50,45
Combusken,fire,fighting,3,60,85,60,85,60,55
Blaziken,fire,fighting,3,80,160,80,130,80,100
Mudkip,water,,3,50,70,50,50,50,40
Marshtomp,water,ground,3,70,85,70,60,70,50
Swampert,water,ground,3,100,150,110,95,110,70
Poochyena,dark,,3,35,55,35,30,30,35
Mightyena,dark,,3,70,90,70,60,60,70
Zigzagoon,normal,,3,38,30,41,30,41,60
Linoone,normal,,3,78,70,61,50,61,100
Wurmple,bug,,3,45,45,35,20,30,20
Silcoon,bug,,3,50,35,55,25,25,15
Beautifly,bug,flying,3,60,70,50,100,50,65
Cascoon,bug,,3,50,35,55,25,25,15
Dustox,bug,poison,3,60,50,70,50,90,65
Lotad,water,grass,3,40,30,30,40,50,30
Lombre,water,grass,3,60,50,50,60,70,50
Ludicolo,water,grass,3,80,70,70,90,100,70
Seedot,grass,,3,40,40,50,30,30,30
Nuzleaf,grass,dark,3,70,70,40,60,40,60
Shiftry,grass,dark,3,90,100,60,90,60,80
Taillow,normal,flying,3,40,55,30,30,30,85
Swellow,normal,flying,3,60,85,60,75,50,125
Wingull,water,flying,3,40,30,30,55,30,85
Pelipper,water,flying,3,60,50,100,95,70,65
Ralts,psychic,fairy,3,28,25,25,45,35,40
Kirlia,psychic,fairy,3,38,35,35,65,55,50
Gardevoir,psychic,fairy,3,68,85,65,165,135,100
Surskit,bug,water,3,40,30,32,50,52,65
Masquerain,bug,flying,3,70,60,62,100,82,80
Shroomish,grass,,3,60,40,60,40,60,35
Breloom,grass,fighting,3,60,130,80,60,60,70
Slakoth,normal,,3,60,60,60,35,35,30
Vigoroth,normal,,3,80,80,80,55,55,90
Slaking,normal,,3,150,160,100,95,65,100
Nincada,bug,ground,3,31,45,90,30,30,40
Ninjask,bug,flying,3,61,90,45,50,50,160
Shedinja,bug,ghost,3,1,90,45,30,30,40
Whismur,normal,,3,64,51,23,51,23,28
Loudred,normal,,3,84,71,43,71,43,48
Exploud,normal,,3,104,91,63,91,73,68
Makuhita,fighting,,3,72,60,30,20,30,25
Hariyama,fighting,,3,144,120,60,40,60,50
Azurill,normal,fairy,3,50,20,40,20,40,20
Nosepass,rock,,3,30,45,135,45,90,30
Skitty,normal,,3,50,45,45,35,35,50
Delcatty,normal,,3,70,65,65,55,55,90
Sableye,dark,ghost,3,50,85,125,85,115,20
Mawile,steel,fairy,3,50,105,125,55,95,50
Aron,steel,rock,3,50,70,100,40,40,30
Lairon,steel,rock,3,60,90,140,50,50,40
Aggron,steel,rock,3,70,140,230,60,80,50
Meditite,fighting,psychic,3,30,40,55,40,55,60
Medicham,fighting,psychic,3,60,100,85,80,85,100
Electrike,electric,,3,40,45,40,65,40,65
Manectric,electric,,3,70,75,80,135,80,135
Plusle,electric,,3,60,50,40,85,75,95
Minun,electric,,3,60,40,50,75,85,95
Volbeat,bug,,3,65,73,75,47,85,85
Illumise,bug,,3,65,47,75,73,85,85
Roselia,grass,poison,3,50,60,45,100,80,65
Gulpin,poison,,3,70,43,53,43,53,40
Swalot,poison,,3,100,73,83,73,83,55
Carvanha,water,dark,3,45,90,20,65,20,65
Sharpedo,water,dark,3,70,140,70,110,65,105
Wailmer,water,,3,130,70,35,70,35,60
Wailord,water,,3,170,90,45,90,45,60
Numel,fire,ground,3,60,60,40,65,45,35
Camerupt,fire,ground,3,70,120,100,145,105,20
Torkoal,fire,,3,70,85,140,85,70,20
Spoink,psychic,,3,60,25,35,70,80,60
Grumpig,psychic,,3,80,45,65,90,110,80
Spinda,normal,,3,60,60,60,60,60,60
Trapinch,ground,,3,45,100,45,45,45,10
Vibrava,ground,dragon,3,50,70,50,50,50,70
Flygon,ground,dragon,3,80,100,80,80,80,100
Cacnea,grass,,3,50,85,40,85,40,35
Cacturne,grass,dark,3,70,115,60,115,60,55
Swablu,normal,flying,3,45,40,60,40,75,50
Altaria,dragon,flying,3,75,110,110,110,105,80
Zangoose,normal,,3,73,115,60,60,60,90
Seviper,poison,,3,73,100,60,100,60,65
Lunatone,rock,psychic,3,90,55,65,95,85,70
Solrock,rock,psychic,3,90,95,85,55,65,70
Barboach,water,ground,3,50,48,43,46,41,60
Whiscash,water,ground,3,110,78,73,76,71,60
Corphish,water,,3,43,80,65,50,35,35
Crawdaunt,water,dark,3,63,120,85,90,55,55
Baltoy,ground,psychic,3,40,40,55,40,70,55
Claydol,ground,psychic,3,60,70,105,70,120,75
Lileep,rock,grass,3,66,41,77,61,87,23
Cradily,rock,grass,3,86,81,97,81,107,43
Anorith,rock,bug,3,45,95,50,40,50,75
Armaldo,rock,bug,3,75,125,100,70,80,45
Feebas,water,,3,20,15,20,10,55,80
Milotic,water,,3,95,60,79,100,125,81
Castform,normal,,3,70,70,70,70,70,70
Kecleon,normal,,3,60,90,70,60,120,40
Shuppet,ghost,,3,44,75,35,63,33,45
Banette,ghost,,3,64,165,75,93,83,75
Duskull,ghost,,3,20,40,90,30,90,25
Dusclops,ghost,,3,40,70,130,60,130,25
Tropius,grass,flying,3,99,68,83,72,87,51
Chimecho,psychic,,3,75,50,80,95,90,65
Absol,dark,,3,65,150,60,115,60,115
Wynaut,psychic,,3,95,23,48,23,48,23
Snorunt,ice,,3,50,50,50,50,50,50
Glalie,ice,,3,80,120,80,120,80,100
Spheal,ice,water,3,70,40,50,55,50,25
Sealeo,ice,water,3,90,60,70,75,70,45
Walrein,ice,water,3,110,80,90,95,90,65
Clamperl,water,,3,35,64,85,74,55,32
Huntail,water,,3,55,104,105,94,75,52
Gorebyss,water,,3,55,84,105,114,75,52
Relicanth,water,rock,3,100,90,130,45,65,55
Luvdisc,water,,3,43,30,55,40,65,97
Bagon,dragon,,3,45,75,60,40,30,50
Shelgon,dragon,,3,65,95,100,60,50,50
Salamence,dragon,flying,3,95,145,130,120,90,120
Beldum,steel,psychic,3,40,55,80,35,60,30
Metang,steel,psychic,3,60,75,100,55,80,50
Metagross,steel,psychic,3,80,145,150,105,110,110
Regirock,rock,,3,80,100,200,50,100,50
Regice,ice,,3,80,50,100,100,200,50
Registeel,steel,,3,80,75,150,75,150,50
Latias,dragon,psychic,3,80,100,120,140,150,110
Latios,dragon,psychic,3,80,130,100,160,120,110
Kyogre,water,,3,100,150,90,180,160,90
Groudon,ground,,3,100,180,160,150,90,90
Rayquaza,dragon,flying,3,105,180,100,180,100,115
Jirachi,steel,psychic,3,100,100,100,100,100,100
Deoxys,psychic,,3,50,95,90,95,90,180
Turtwig,grass,,4,55,68,64,45,55,31
Grotle,grass,,4,75,89,85,55,65,36
Torterra,grass,ground,4,95,109,105,75,85,56
Chimchar,fire,,4,44,58,44,58,44,61
Monferno,fire,fighting,4,64,78,52,78,52,81
Infernape,fire,fighting,4,76,104,71,104,71,108
Piplup,water,,4,53,51,53,61,56,40
Prinplup,water,,4,64,66,68,81,76,50
Empoleon,water,steel,4,84,86,88,111,101,60
Starly,normal,flying,4,40,55,30,30,30,60
Staravia,normal,flying,4,55,75,50,40,40,80
Staraptor,normal,flying,4,85,120,70,50,60,100
Bidoof,normal,,4,59,45,40,35,40,31
Bibarel,normal,water,4,79,85,60,55,60,71
Kricketot,bug,,4,37,25,41,25,41,25
Kricketune,bug,,4,77,85,51,55,51,65
Shinx,electric,,4,45,65,34,40,34,45
Luxio,electric,,4,60,85,49,60,49,60
Luxray,electric,,4,80,120,79,95,79,70
Budew,grass,poison,4,40,30,35,50,70,55
Roserade,grass,poison,4,60,70,65,125,105,90
Cranidos,rock,,4,67,125,40,30,30,58
Rampardos,rock,,4,97,165,60,65,50,58
Shieldon,rock,steel,4,30,42,118,42,88,30
Bastiodon,rock,steel,4,60,52,168,47,138,30
Burmy,bug,,4,40,29,45,29,45,36
Wormadam,bug,grass,4,60,69,95,69,95,36
Mothim,bug,flying,4,70,94,50,94,50,66
Combee,bug,flying,4,30,30,42,30,42,70
Vespiquen,bug,flying,4,70,80,102,80,102,40
Pachirisu,electric,,4,60,45,70,45,90,95
Buizel,water,,4,55,65,35,60,30,85
Floatzel,water,,4,85,105,55,85,50,115
Cherubi,grass,,4,45,35,45,62,53,35
Cherrim,grass,,4,70,60,70,87,78,85
Shellos,water,,4,76,48,48,57,62,34
Gastrodon,water,ground,4,111,83,68,92,82,39
Ambipom,normal,,4,75,100,66,60,66,115
Drifloon,ghost,flying,4,90,50,34,60,44,70
Drifblim,ghost,flying,4,150,80,44,90,54,80
Buneary,normal,,4,55,66,44,44,56,85
Lopunny,normal,,4,65,136,94,54,96,135
Mismagius,ghost,,4,60,60,60,105,105,105
Honchkrow,dark,flying,4,100,125,52,105,52,71
Glameow,normal,,4,49,55,42,42,37,85
Purugly,normal,,4,71,82,64,64,59,112
Chingling,psychic,,4,45,30,50,65,50,45
Stunky,poison,dark,4,63,63,47,41,41,74
Skuntank,poison,dark,4,103,93,67,71,61,84
Bronzor,steel,psychic,4,57,24,86,24,86,23
Bronzong,steel,psychic,4,67,89,116,79,116,33
Bonsly,rock,,4,50,80,95,10,45,10
Mime Jr.,psychic,fairy,4,20,25,45,70,90,60
Happiny,normal,,4,100,5,5,15,65,30
Chatot,normal,flying,4,76,65,45,92,42,91
Spiritomb,ghost,dark,4,50,92,108,92,108,35
Gible,dragon,ground,4,58,70,45,40,45,42
Gabite,dragon,ground,4,68,90,65,50,55,82
Garchomp,dragon,ground,4,108,170,115,120,95,92
Munchlax,normal,,4,135,85,40,40,85,5
Riolu,fighting,,4,40,70,40,35,40,60
Lucario,fighting,steel,4,70,145,88,140,70,112
Hippopotas,ground,,4,68,72,78,38,42,32
Hippowdon,ground,,4,108,112,118,68,72,47
Skorupi,poison,bug,4,40,50,90,30,55,65
Drapion,poison,dark,4,70,90,110,60,75,95
Croagunk,poison,fighting,4,48,61,40,61,40,50
Toxicroak,poison,fighting,4,83,106,65,86,65,85
Carnivine,grass,,4,74,100,72,90,72,46
Finneon,water,,4,49,49,56,49,61,66
Lumineon,water,,4,69,69,76,69,86,91
Mantyke,water,flying,4,45,20,50,60,120,50
Snover,grass,ice,4,60,62,50,62,60,40
Abomasnow,grass,ice,4,90,132,105,132,105,30
Weavile,dark,ice,4,70,120,65,45,85,125
Magnezone,electric,steel,4,70,70,115,130,90,60
Lickilicky,normal,,4,110,85,95,80,95,50
Rhyperior,ground,rock,4,115,140,130,55,55,40
Tangrowth,grass,,4,100,100,125,110,50,50
Electivire,electric,,4,75,123,67,95,85,95
Magmortar,fire,,4,75,95,67,125,95,83
Togekiss,fairy,flying,4,85,50,95,120,115,80
Yanmega,bug,flying,4,86,76,86,116,56,95
Leafeon,grass,,4,65,110,130,60,65,95
Glaceon,ice,,4,65,60,110,130,95,65
Gliscor,ground,flying,4,75,95,125,45,75,95
Mamoswine,ice,ground,4,110,130,80,70,60,80
Porygon-Z,normal,,4,85,80,70,135,75,90
Gallade,psychic,fighting,4,68,165,95,65,115,110
Probopass,rock,steel,4,60,55,145,75,150,40
Dusknoir,ghost,,4,45,100,135,65,135,45
Froslass,ice,ghost,4,70,80,70,80,70,110
Rotom,electric,ghost,4,50,65,107,105,107,86
Uxie,psychic,,4,75,75,130,75,130,95
Mesprit,psychic,,4,80,105,105,105,105,80
Azelf,psychic,,4,75,125,70,125,70,115
Dialga,steel,dragon,4,100,120,120,150,100,90
Palkia,water,dragon,4,90,120,100,150,120,100
Heatran,fire,steel,4,91,90,106,130,106,77
Regigigas,normal,,4,110,160,110,80,110,100
Giratina,ghost,dragon,4,150,120,100,120,100,90
Cresselia,psychic,,4,120,70,120,75,130,85
Phione,water,,4,80,80,80,80,80,80
Manaphy,water,,4,100,100,100,100,100,100
Darkrai,dark,,4,70,90,90,135,90,125
Shaymin,grass,grass,4,100,103,75,120,75,127
Arceus,normal,,4,120,120,120,120,120,120
Victini,psychic,fire,5,100,100,100,100,100,100
Snivy,grass,,5,45,45,55,45,55,63
Servine,grass,,5,60,60,75,60,75,83
Serperior,grass,,5,75,75,95,75,95,113
Tepig,fire,,5,65,63,45,45,45,45
Pignite,fire,fighting,5,90,93,55,70,55,55
Emboar,fire,fighting,5,110,123,65,100,65,65
Oshawott,water,,5,55,55,45,63,45,45
Dewott,water,,5,75,75,60,83,60,60
Samurott,water,,5,95,100,85,108,70,70
Patrat,normal,,5,45,55,39,35,39,42
Watchog,normal,,5,60,85,69,60,69,77
Lillipup,normal,,5,45,60,45,25,45,55
Herdier,normal,,5,65,80,65,35,65,60
Stoutland,normal,,5,85,110,90,45,90,80
Purrloin,dark,,5,41,50,37,50,37,66
Liepard,dark,,5,64,88,50,88,50,106
Pansage,grass,,5,50,53,48,53,48,64
Simisage,grass,,5,75,98,63,98,63,101
Pansear,fire,,5,50,53,48,53,48,64
Simisear,fire,,5,75,98,63,98,63,101
Panpour,water,,5,50,53,48,53,48,64
Simipour,water,,5,75,98,63,98,63,101
Munna,psychic,,5,76,25,45,67,55,24
Musharna,psychic,,5,116,55,85,107,95,29
Pidove,normal,flying,5,50,55,50,36,30,43
Tranquill,normal,flying,5,62,77,62,50,42,65
Unfezant,normal,flying,5,80,115,80,65,55,93
Blitzle,electric,,5,45,60,32,50,32,76
Zebstrika,electric,,5,75,100,63,80,63,116
Roggenrola,rock,,5,55,75,85,25,25,15
Boldore,rock,,5,70,105,105,50,40,20
Gigalith,rock,,5,85,135,130,60,80,25
Woobat,psychic,flying,5,65,45,43,55,43,72
Swoobat,psychic,flying,5,67,57,55,77,55,114
Drilbur,ground,,5,60,85,40,30,45,68
Excadrill,ground,steel,5,110,135,60,50,65,88
Audino,normal,,5,103,60,126,80,126,50
Timburr,fighting,,5,75,80,55,25,35,35
Gurdurr,fighting,,5,85,105,85,40,50,40
Conkeldurr,fighting,,5,105,140,95,55,65,45
Tympole,water,,5,50,50,40,50,40,64
Palpitoad,water,ground,5,75,65,55,65,55,69
Seismitoad,water,ground,5,105,95,75,85,75,74
Throh,fighting,,5,120,100,85,30,85,45
Sawk,fighting,,5,75,125,75,30,75,85
Sewaddle,bug,grass,5,45,53,70,40,60,42
Swadloon,bug,grass,5,55,63,90,50,80,42
Leavanny,bug,grass,5,75,103,80,70,80,92
Venipede,bug,poison,5,30,45,59,30,39,57
Whirlipede,bug,poison,5,40,55,99,40,79,47
Scolipede,bug,poison,5,60,100,89,55,69,112
Cottonee,grass,fairy,5,40,27,60,37,50,66
Whimsicott,grass,fairy,5,60,67,85,77,75,116
Petilil,grass,,5,45,35,50,70,50,30
Lilligant,grass,,5,70,60,75,110,75,90
Basculin,water,,5,70,92,65,80,55,98
Sandile,ground,dark,5,50,72,35,35,35,65
Krokorok,ground,dark,5,60,82,45,45,45,74
Krookodile,ground,dark,5,95,117,80,65,70,92
Darumaka,fire,,5,70,90,45,15,45,50
Darmanitan,fire,fire,5,105,30,105,140,105,55
Maractus,grass,,5,75,86,67,106,67,60
Dwebble,bug,rock,5,50,65,85,35,35,55
Crustle,bug,rock,5,70,105,125,65,75,45
Scraggy,dark,fighting,5,50,75,70,35,70,48
Scrafty,dark,fighting,5,65,90,115,45,115,58
Sigilyph,psychic,flying,5,72,58,80,103,80,97
Yamask,ghost,,5,38,30,85,55,65,30
Cofagrigus,ghost,,5,58,50,145,95,105,30
